日期,岗位,天数,MAN,INT,END,属,估,登,名字,天,点,课,理,药,离,总,薪,参
2023/5/4,Security Contractor,7,33808,50967,51370,68,---,6 hours ago,redsoldier,7,5,---,17,0,---,97,$800000,---
2023/5/4,Security Contractor,3,8753,5514,10916,19,---,11 minutes ago,Tyler-Spector,3,4,---,30,0,---,56,$150000,---
2023/5/4,Team Leader,5,87531,13648,53887,79,---,1 day ago,CosmicBreak,4,10,---,0,0,---,88,$1500000,---
2023/5/4,Security Contractor,14,53539,7930,41516,80,---,4 hours ago,TDRaiz,10,7,---,11,0,---,108,$500000,---
2023/5/4,Security Contractor,6,31761,24914,44481,66,---,1 hour ago,Carlhurt3,5,3,---,20,-2,---,92,$400000,---
2023/5/4,Team Leader,7,43347,23958,117316,67,---,3 hours ago,datthamg,7,4,---,0,0,---,78,$1500000,---
2023/5/4,Security Contractor,10,14875,15462,25218,41,---,4 hours ago,B_rice,9,0,---,28,0,---,78,$200000,---
2023/5/4,Security Contractor,15,722,484,633,0,---,44 minutes ago,Pierre_Hein,10,2,---,30,-2,---,40,$100000,---
2023/5/4,Security Contractor,15,465,65,257,0,---,1 hour ago,pigo,10,0,---,30,-1,---,39,$50000,---
2023/5/4,Security Contractor,15,438,97,272,0,---,14 hours ago,Joseph_1,10,1,---,30,-4,---,37,$100000,---
2023/5/4,Security Contractor,0,3544,1200,2368,0,---,10 hours ago,Ragas,0,0,---,0,0,---,0,$100000,---
2023/5/4,Security Contractor,16,512,152,288,0,---,18 minutes ago,DARTHSTEYN,10,0,---,30,0,---,40,$100000,---
