faction,name,ecs,lsd,xan,total,overdose,rate
SH,gocool,51,364,6318,7859,174,45
SH,bingri,50,50,11681,12652,276,45
SH,htys,283,52,3686,4513,102,44
SH,newer,51,50,6722,7212,149,48
SH,alnh,72,50,7475,9617,192,50
SH,Yang2,177,51,5225,5846,146,40
SH,tobytorn,132,50,3990,4897,106,46
SH,alpaca,52,3738,2846,7393,266,27
SH,gakky,81,52,6798,7589,182,41
SH,Circle_Meng,50,2486,2337,5939,197,30
SH,gongpoyi,9,2935,42,3415,196,17
SH,Coolge,52,50,3520,3681,73,50
SH,GoodLuck,51,34,3429,3835,73,52
SH,LuckyPaco,62,54,3065,3236,67,48
SH,PPGod,7,4,2886,2928,63,46
SH,kumo,51,25,2078,2468,56,44
SH,1000points,106,62,3049,3683,81,45
SH,Meow,51,79,2727,3689,77,47
SH,Abigear,648,8,2051,2720,72,37
SH,Alittleear,874,3,1411,2289,67,34
SH,EX7XD,111,16,2694,2837,45,63
SH,Biu,19,2,3204,3309,77,42
SH,Antifa,102,50,2366,2981,75,39
SH,Messiah2020,78,50,1941,2570,51,50
SH,vabobo,143,146,2717,3115,83,37
SH,Baby,68,19,2994,3173,62,51
SH,Namiraka,50,0,2834,2895,47,61
SH,Zeeeman,86,8,2353,2517,51,49
SH,ToMEw,89,50,1892,2079,52,39
SH,Izayoi_Sakuya,63,50,2408,2566,51,50
SH,kuaileshui,56,60,2107,2359,54,43
SH,Subetai,51,50,2292,2645,45,58
SH,lazyscar,54,50,1769,2275,45,50
SH,LSP,63,0,2548,2631,54,48
SH,Tcube,57,8,2158,2235,45,49
SH,Emc,205,50,1872,2317,46,50
SH,EvilCat,180,3,1779,2021,39,51
SH,yinhuhuhu,105,50,1629,2085,36,57
SH,Bigclever,64,4,1871,2001,30,66
NOV,peterors,497,1,7276,8001,200,40
NOV,daoy,195,1,10789,11249,257,43
NOV,MeiFawAn,72,50,4362,4752,91,52
NOV,qianyx,133,50,9690,10817,236,45
NOV,AlanSpader,149,50,8800,9480,200,47
NOV,Megistus,57,31,5903,6370,153,41
NOV,greenriver,69,50,8179,8599,171,50
NOV,kaeru,52,51,2817,3399,67,50
NOV,Aghahowa,50,50,1063,2476,38,65
NOV,YuanLiFengFeng,51,51,4074,4388,75,58
NOV,Metaverse,82,50,3112,4034,68,59
NOV,wslsk,501,50,2436,3390,69,49
NOV,YEGOU,21,156,2546,2778,49,56
NOV,ig_chen,88,26,3134,3598,62,58
NOV,jiafeimao,50,50,2892,3222,61,52
NOV,QingShanKing,87,50,2475,2994,68,44
NOV,PicassoH,53,51,2013,2414,52,46
NOV,Cxm1106,56,50,2512,2681,60,44
NOV,Fakoliy,67,50,2569,3540,49,72
NOV,yaoguaimeat,60,50,2026,2598,50,51
NOV,Never-OD,53,50,2015,2323,55,42
NOV,Nicol-Bolas,51,0,2380,2591,53,48
NOV,Kirrr,51,50,2129,2255,53,42
NOV,Abukuma,102,0,2034,2137,47,45
NOV,DeckardCain,56,0,2157,2539,44,57
NOV,Cinis,51,50,1556,2007,35,57
NOV,lilychee,52,50,1712,2254,38,59
