faction,name,ecs,lsd,xan,total,overdose,rate
SH,gocool,51,364,6318,7859,174,45
SH,bingri,50,50,11681,12652,276,45
SH,htys,283,52,3686,4513,102,44
SH,newer,51,50,6722,7212,149,48
SH,alnh,72,50,7475,9617,192,50
SH,Yang2,177,51,5225,5846,146,40
SH,tobytorn,132,50,3990,4897,106,46
SH,alpaca,52,3738,2846,7393,266,27
SH,gakky,81,52,6798,7589,182,41
SH,Circle_Meng,50,2486,2337,5939,197,30
SH,gongpoyi,9,2935,42,3415,196,17
SH,Coolge,52,50,3520,3681,73,50
SH,GoodLuck,51,34,3429,3835,73,52
SH,LuckyPaco,62,54,3065,3236,67,48
SH,PPGod,7,4,2886,2928,63,46
SH,kumo,51,25,2078,2468,56,44
SH,1000points,106,62,3049,3683,81,45
SH,Meow,51,79,2727,3689,77,47
SH,Abigear,648,8,2051,2720,72,37
SH,Alittleear,874,3,1411,2289,67,34
SH,EX7XD,111,16,2694,2837,45,63
SH,Biu,19,2,3204,3309,77,42
SH,Antifa,102,50,2366,2981,75,39
SH,Messiah2020,78,50,1941,2570,51,50
SH,vabobo,143,146,2717,3115,83,37
SH,Baby,68,19,2994,3173,62,51
SH,Namiraka,50,0,2834,2895,47,61
SH,Zeeeman,86,8,2353,2517,51,49
SH,ToMEw,89,50,1892,2079,52,39
SH,Izayoi_Sakuya,63,50,2408,2566,51,50
SH,kuaileshui,56,60,2107,2359,54,43
SH,Subetai,51,50,2292,2645,45,58
SH,lazyscar,54,50,1769,2275,45,50
SH,LSP,63,0,2548,2631,54,48
SH,Tcube,57,8,2158,2235,45,49
SH,Stanlty998,106,6,1466,1599,29,55
SH,Emc,205,50,1872,2317,46,50
SH,BIGBOSS2,48,0,1884,1932,41,47
SH,RaxPhilo,73,0,1860,1938,30,64
SH,EvilCat,180,3,1779,2021,39,51
SH,yinhuhuhu,105,50,1629,2085,36,57
SH,Zatoichi,50,0,1314,1396,23,60
SH,Herme33,60,15,1058,1281,16,80
SH,bxfengchen,118,4,1725,1886,35,53
SH,Septembergone,35,0,1238,1274,18,70
SH,UlquiorraL,72,0,780,901,15,60
SH,Kaky,76,1,1656,1742,45,38
SH,shaowu,54,1,1404,1460,25,58
SH,Bigclever,64,4,1871,2001,30,66
SH,Gamblingmonster,67,5,1167,1250,32,39
SH,zxal00,60,0,1160,1276,36,35
SH,FraZC,88,82,1097,1410,33,42
SH,BianTomb,77,0,686,768,14,54
SH,zongzheng,51,1,1190,1249,20,62
SH,XXOO,185,5,1650,1980,48,41
SH,ENVY-,9,1,371,383,12,31
SH,Howryann,69,0,1293,1362,27,50
SH,huanxiang,28,4,1215,1266,22,57
SH,LeiyiTi,54,0,1155,1212,30,40
SH,ff520,33,0,1168,1231,22,55
SH,CrystalLion,22,0,1015,1048,23,45
SH,oreoknight,52,0,1022,1174,17,69
SH,ngp,38,0,1053,1093,20,54
SH,dadagege,36,0,982,1022,29,35
SH,HiiiiiiZ,44,0,909,961,23,41
SH,Pldada,33,2,933,988,18,54
SH,Mrzhan,17,0,917,969,24,40
SH,SevenMk,18,0,924,948,13,72
