时间,股票名,缩写,现价,保有量,投资者
2023/4/21 17:54:7,Torn & Shanghai Banking,TSB,1036.3,13893669014876,9637
2023/4/21 17:54:7,Torn City Investments,TCI,961.85,17188913680155,15170
2023/4/21 17:54:7,Syscore MFG,SYS,532.52,3294327508411,5403
2023/4/21 17:54:7,Legal Authorities Group,LAG,412.6,2724521852316,8732
2023/4/21 17:54:7,Insured On Us,IOU,143.03,7006642499397,14236
2023/4/21 17:54:7,Grain,GRN,264.53,3417424673735,17771
2023/4/21 17:54:7,Torn City Health Service,THS,321.91,2535871944549,28774
2023/4/21 17:54:7,Yazoo,YAZ,47.03,1930256935670,8703
2023/4/21 17:54:7,The Torn City Times,TCT,306.35,1516860789860,17067
2023/4/21 17:54:7,Crude & Co,CNC,715.89,7399460817374,6769
2023/4/21 17:54:7,Messaging Inc.,MSG,234.94,471841763801,6194
2023/4/21 17:54:7,TC Music Industries,TMI,172.21,17364525537916,9904
2023/4/21 17:54:7,TC Media Productions,TCP,444.71,2248828601612,7837
2023/4/21 17:54:7,I Industries Ltd.,IIL,118.48,3615065318310,11891
2023/4/21 17:54:7,Feathery Hotels Group,FHG,706.99,46249328925207,21949
2023/4/21 17:54:7,Symbiotic Ltd.,SYM,593.24,22213094208890,30525
2023/4/21 17:54:7,Lucky Shots Casino,LSC,444.64,3822116901578,21857
2023/4/21 17:54:7,Performance Ribaldry,PRN,531.95,10238636177200,17720
2023/4/21 17:54:7,Eaglewood Mercenary,EWM,258.16,2423508019215,9476
2023/4/21 17:54:7,Torn City Motors,TCM,301.96,1261993618125,6576
2023/4/21 17:54:7,Empty Lunchbox Traders,ELT,237.09,4145073881963,4371
2023/4/21 17:54:7,Home Retail Group,HRG,228.47,10568557767555,11566
2023/4/21 17:54:7,Tell Group Plc.,TGP,112.78,2028911760384,9266
2023/4/21 17:54:7,Munster Beverage Corp.,MUN,463.82,11459828056327,6189
2023/4/21 17:54:7,West Side University,WSU,90.18,2182205655782,27543
2023/4/21 17:54:7,International School TC,IST,463.45,413176152214,10303
2023/4/21 17:54:7,Big Al's Gun Shop,BAG,403.55,4035794057200,7285
2023/4/21 17:54:7,Evil Ducks Candy Corp,EVL,524.92,3011121708228,10725
2023/4/21 17:54:7,Mc Smoogle Corp,MCS,708.64,16755447746177,16657
2023/4/21 17:54:7,Wind Lines Travel,WLT,689.14,8748125535388,7177
2023/4/21 17:54:7,Torn City Clothing,TCC,498.88,2571149437797,7353
2023/4/21 17:54:7,Alcoholics Synonymous,ASS,308.01,1850680771463,6563
2023/4/21 17:54:7,Herbal Releaf Co.,CBD,394.4,2122391259546,6694
2023/4/21 17:54:7,Lo Squalo Waste,LOS,94.66,10874729421315,3114
2023/4/21 17:54:7,PointLess,PTS,68.62,5617761051802,7820
2023/4/21 17:54:31,Torn & Shanghai Banking,TSB,1036.75,13899702185476,9638
2023/4/21 17:54:31,Torn City Investments,TCI,961.57,17183909889719,15170
2023/4/21 17:54:31,Syscore MFG,SYS,532.55,3294513097357,5403
2023/4/21 17:54:31,Legal Authorities Group,LAG,412.36,2722937060158,8732
2023/4/21 17:54:31,Insured On Us,IOU,143.03,7006642499397,14236
2023/4/21 17:54:31,Grain,GRN,264.55,3417683050832,17771
2023/4/21 17:54:31,Torn City Health Service,THS,321.91,2535872591588,28774
2023/4/21 17:54:31,Yazoo,YAZ,47.03,1930256935670,8703
2023/4/21 17:54:31,The Torn City Times,TCT,306.22,1516214920173,17067
2023/4/21 17:54:31,Crude & Co,CNC,715.93,7399874258591,6769
2023/4/21 17:54:31,Messaging Inc.,MSG,234.94,471841763801,6194
2023/4/21 17:54:31,TC Music Industries,TMI,172.13,17356458863257,9904
2023/4/21 17:54:31,TC Media Productions,TCP,444.67,2248626327896,7837
2023/4/21 17:54:31,I Industries Ltd.,IIL,118.46,3614455077709,11891
2023/4/21 17:54:31,Feathery Hotels Group,FHG,706.99,46249328925207,21949
2023/4/21 17:54:31,Symbiotic Ltd.,SYM,592.84,22198116733192,30525
